,Date,Time,x1,y1,x2,y2,Num
31473,2017/1/1,17,745.4968888999999,725.1934052999999,680.2414222,592.9448876,31
31474,2017/1/1,18,745.4968888999999,725.1934052999999,680.2414222,592.9448876,18
31475,2017/1/1,19,745.4968888999999,725.1934052999999,680.2414222,592.9448876,30
31476,2017/1/1,20,745.4968888999999,725.1934052999999,680.2414222,592.9448876,13
31477,2017/1/1,21,745.4968888999999,725.1934052999999,680.2414222,592.9448876,13
31478,2017/1/1,22,745.4968888999999,725.1934052999999,680.2414222,592.9448876,16
31479,2017/1/1,23,745.4968888999999,725.1934052999999,680.2414222,592.9448876,14
31480,2017/1/1,0,738.6748444,690.7217356000001,680.2414222,592.9448876,0
31481,2017/1/1,1,738.6748444,690.7217356000001,680.2414222,592.9448876,0
31482,2017/1/1,6,738.6748444,690.7217356000001,680.2414222,592.9448876,2
31483,2017/1/1,7,738.6748444,690.7217356000001,680.2414222,592.9448876,6
31484,2017/1/1,8,738.6748444,690.7217356000001,680.2414222,592.9448876,15
31485,2017/1/1,9,738.6748444,690.7217356000001,680.2414222,592.9448876,9
31486,2017/1/1,10,738.6748444,690.7217356000001,680.2414222,592.9448876,9
31487,2017/1/1,11,738.6748444,690.7217356000001,680.2414222,592.9448876,14
31488,2017/1/1,12,738.6748444,690.7217356000001,680.2414222,592.9448876,16
31489,2017/1/1,13,738.6748444,690.7217356000001,680.2414222,592.9448876,17
31490,2017/1/1,14,738.6748444,690.7217356000001,680.2414222,592.9448876,13
31491,2017/1/1,15,738.6748444,690.7217356000001,680.2414222,592.9448876,11
31492,2017/1/1,16,738.6748444,690.7217356000001,680.2414222,592.9448876,9
31493,2017/1/1,17,738.6748444,690.7217356000001,680.2414222,592.9448876,14
31494,2017/1/1,18,738.6748444,690.7217356000001,680.2414222,592.9448876,17
31495,2017/1/1,19,738.6748444,690.7217356000001,680.2414222,592.9448876,7
31496,2017/1/1,20,738.6748444,690.7217356000001,680.2414222,592.9448876,10
31497,2017/1/1,21,738.6748444,690.7217356000001,680.2414222,592.9448876,6
31498,2017/1/1,22,738.6748444,690.7217356000001,680.2414222,592.9448876,9
31499,2017/1/1,23,738.6748444,690.7217356000001,680.2414222,592.9448876,3
31500,2017/1/1,0,722.1226667000001,640.7293406,680.2414222,592.9448876,3
31501,2017/1/1,1,722.1226667000001,640.7293406,680.2414222,592.9448876,0
31502,2017/1/1,6,722.1226667000001,640.7293406,680.2414222,592.9448876,6
31503,2017/1/1,7,722.1226667000001,640.7293406,680.2414222,592.9448876,4
31504,2017/1/1,8,722.1226667000001,640.7293406,680.2414222,592.9448876,5
31505,2017/1/1,9,722.1226667000001,640.7293406,680.2414222,592.9448876,15
